VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
YearCode,YearCode,Key Identifier,"",0,,,,YearCode
Year,Year,Key Identifier,"",0,,,,Year
Base year,D7051_3,Key Identifier,"",,,,,Base year
Gross State Value Added by Agriculture sector at current prices,I7051_4,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_LandArea,Land Area from Census,Gross State Value Added by Agriculture sector at current prices
Gross State Domestic Product at current prices,I7051_5,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State Domestic Product at current prices
Net State Value Added by Industry sector at current prices,I7051_6,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Value Added by Industry sector at current prices
Gross State Value Added by Services sector at constant prices,I7051_7,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State Value Added by Services sector at constant prices
Net State Value Added by Construction sector at current prices,I7051_8,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Value Added by Construction sector at current prices
Net State Domestic Product at current prices,I7051_9,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Domestic Product at current prices
Net State Value Added by Services sector at current prices,I7051_10,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Value Added by Services sector at current prices
Gross State Value Added by Manufacturing sector at current prices,I7051_11,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State Value Added by Manufacturing sector at current prices
