srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,YearCode,TotalPopulationUrban,Year,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Andhra Pradesh,2001-02,India,28,ANDHRA PRADESH,49577103,2001,14610410,"Financial Year (Apr - Mar), 2001",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2002-03,India,28,ANDHRA PRADESH,49577103,2002,14610410,"Financial Year (Apr - Mar), 2002",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2003-04,India,28,ANDHRA PRADESH,49577103,2003,14610410,"Financial Year (Apr - Mar), 2003",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2004-05,India,28,ANDHRA PRADESH,49577103,2004,14610410,"Financial Year (Apr - Mar), 2004",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2005-06,India,28,ANDHRA PRADESH,49577103,2005,14610410,"Financial Year (Apr - Mar), 2005",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2006-07,India,28,ANDHRA PRADESH,49577103,2006,14610410,"Financial Year (Apr - Mar), 2006",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2007-08,India,28,ANDHRA PRADESH,49577103,2007,14610410,"Financial Year (Apr - Mar), 2007",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2008-09,India,28,ANDHRA PRADESH,49577103,2008,14610410,"Financial Year (Apr - Mar), 2008",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2009-10,India,28,ANDHRA PRADESH,49577103,2009,14610410,"Financial Year (Apr - Mar), 2009",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2010-11,India,28,ANDHRA PRADESH,49577103,2010,14610410,"Financial Year (Apr - Mar), 2010",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2011-12,India,28,ANDHRA PRADESH,49577103,2011,14610410,"Financial Year (Apr - Mar), 2011",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2012-13,India,28,ANDHRA PRADESH,49577103,2012,14610410,"Financial Year (Apr - Mar), 2012",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2013-14,India,28,ANDHRA PRADESH,49577103,2013,14610410,"Financial Year (Apr - Mar), 2013",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2014-15,India,28,ANDHRA PRADESH,49577103,2014,14610410,"Financial Year (Apr - Mar), 2014",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2015-16,India,28,ANDHRA PRADESH,49577103,2015,14610410,"Financial Year (Apr - Mar), 2015",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2016-17,India,28,ANDHRA PRADESH,49577103,2016,14610410,"Financial Year (Apr - Mar), 2016",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2017-18,India,28,ANDHRA PRADESH,49577103,2017,14610410,"Financial Year (Apr - Mar), 2017",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2018-19,India,28,ANDHRA PRADESH,49577103,2018,14610410,"Financial Year (Apr - Mar), 2018",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andhra Pradesh,2019-20,India,28,ANDHRA PRADESH,49577103,2019,14610410,"Financial Year (Apr - Mar), 2019",34966693,24830513,7292265,17538248,24746590,7318145,17428445,12718976,3653618,9065358,411934,1.3024198e+07,13436132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1991-92,India,12,ARUNACHAL PRADESH,1383727,1991,317369,"Financial Year (Apr - Mar), 1991",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1992-93,India,12,ARUNACHAL PRADESH,1383727,1992,317369,"Financial Year (Apr - Mar), 1992",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1993-94,India,12,ARUNACHAL PRADESH,1383727,1993,317369,"Financial Year (Apr - Mar), 1993",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1994-95,India,12,ARUNACHAL PRADESH,1383727,1994,317369,"Financial Year (Apr - Mar), 1994",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1995-96,India,12,ARUNACHAL PRADESH,1383727,1995,317369,"Financial Year (Apr - Mar), 1995",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1996-97,India,12,ARUNACHAL PRADESH,1383727,1996,317369,"Financial Year (Apr - Mar), 1996",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1997-98,India,12,ARUNACHAL PRADESH,1383727,1997,317369,"Financial Year (Apr - Mar), 1997",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1998-99,India,12,ARUNACHAL PRADESH,1383727,1998,317369,"Financial Year (Apr - Mar), 1998",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,1999-00,India,12,ARUNACHAL PRADESH,1383727,1999,317369,"Financial Year (Apr - Mar), 1999",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2000-01,India,12,ARUNACHAL PRADESH,1383727,2000,317369,"Financial Year (Apr - Mar), 2000",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2001-02,India,12,ARUNACHAL PRADESH,1383727,2001,317369,"Financial Year (Apr - Mar), 2001",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2002-03,India,12,ARUNACHAL PRADESH,1383727,2002,317369,"Financial Year (Apr - Mar), 2002",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2003-04,India,12,ARUNACHAL PRADESH,1383727,2003,317369,"Financial Year (Apr - Mar), 2003",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2004-05,India,12,ARUNACHAL PRADESH,1383727,2004,317369,"Financial Year (Apr - Mar), 2004",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2005-06,India,12,ARUNACHAL PRADESH,1383727,2005,317369,"Financial Year (Apr - Mar), 2005",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2006-07,India,12,ARUNACHAL PRADESH,1383727,2006,317369,"Financial Year (Apr - Mar), 2006",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2007-08,India,12,ARUNACHAL PRADESH,1383727,2007,317369,"Financial Year (Apr - Mar), 2007",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2008-09,India,12,ARUNACHAL PRADESH,1383727,2008,317369,"Financial Year (Apr - Mar), 2008",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2009-10,India,12,ARUNACHAL PRADESH,1383727,2009,317369,"Financial Year (Apr - Mar), 2009",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2010-11,India,12,ARUNACHAL PRADESH,1383727,2010,317369,"Financial Year (Apr - Mar), 2010",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2011-12,India,12,ARUNACHAL PRADESH,1383727,2011,317369,"Financial Year (Apr - Mar), 2011",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2012-13,India,12,ARUNACHAL PRADESH,1383727,2012,317369,"Financial Year (Apr - Mar), 2012",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2013-14,India,12,ARUNACHAL PRADESH,1383727,2013,317369,"Financial Year (Apr - Mar), 2013",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2014-15,India,12,ARUNACHAL PRADESH,1383727,2014,317369,"Financial Year (Apr - Mar), 2014",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2015-16,India,12,ARUNACHAL PRADESH,1383727,2015,317369,"Financial Year (Apr - Mar), 2015",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2016-17,India,12,ARUNACHAL PRADESH,1383727,2016,317369,"Financial Year (Apr - Mar), 2016",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arunachal Pradesh,2017-18,India,12,ARUNACHAL PRADESH,1383727,2017,317369,"Financial Year (Apr - Mar), 2017",1066358,713912,167901,546011,669815,149468,520347,270577,70367,200210,,1.3310389e+06,1331038.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
