VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
YearCode,YearCode,Key Identifier,"",0,,,,YearCode
Year,Year,Key Identifier,"",0,,,,Year
Base year,D7050_3,Key Identifier,"",0,,,,Base year
Gross State value added by Banking and Insurance sector at current prices,I7050_4,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Banking and Insurance sector at current prices in lakh
Gross State Value Added by Construction sector at constant prices,I7050_5,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Construction sector at constant prices in lakh
Gross State value added by Manufacturing sector at constant prices,I7050_6,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Manufacturing sector at constant prices lakh
Net State value added by Banking and Insurance sector at constant prices,I7050_7,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Banking and Insurance sector at constant prices in lakh
Net State value added by Construction sector at constant prices,I7050_8,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State value added by Construction sector at constant prices in lakh
Gross State value added by Industry sector at constant prices,I7050_9,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Gross State value added by Industry sector at constant prices in lakh
Net State Domestic Product at current prices,I7050_10,Numeric Variable,INR ( Indian Rupees ),100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,Net State Domestic Product at current prices in lakh The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector
