VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
This data is collected from the nss 73rd round.,D7387_2,Key Identifier,"",0,"","","",This data is collected from the NSS 73rd round.
Yearcode,YearCode,Key Identifier,"",0,"","","",YearCode
Year,Year,Key Identifier,"",0,"","","",Year
Medium and small scale industrial units,I7387_4,Numeric Variable,Number,100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Number of Units in Lakh. Medium and small scale industrial units in lakh. Figures are based on First All-India Census of Small Scale Industrial Units 1972. Figures of Daman & Diu were included in the erstwhile state of Goa, Daman & Diu, before it got delinked as a separate Union Territory. Second All-India Census of Small Scale Industrial Units 1987-88. Third All-India Census of Small Scale Industries 2001-02. Fourth All-India Census of Micro, Small and Medium Enterprises 2006-07. NSS 73rd round (July 2015-June 2016)."
Total investment,I7387_5,Numeric Variable,INR ( Indian Rupees ),10000000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Total investment in crore. Investments made for plant and machinery or equipment in crore. Figures are based on First All-India Census of Small Scale Industrial Units 1972. Figures of Daman & Diu were included in the erstwhile state of Goa, Daman & Diu, before it got delinked as a separate Union Territory. Second All-India Census of Small Scale Industrial Units 1987-88. Third All-India Census of Small Scale Industries 2001-02. Fourth All-India Census of Micro, Small and Medium Enterprises 2006-07. NSS 73rd round (July 2015-June 2016)."
Production,I7387_6,Numeric Variable,INR ( Indian Rupees ),10000000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Total Production in crore. Total amount spent on production of goods. Figures are based on First All-India Census of Small Scale Industrial Units 1972. Figures of Daman & Diu were included in the erstwhile state of Goa, Daman & Diu, before it got delinked as a separate Union Territory. Second All-India Census of Small Scale Industrial Units 1987-88. Third All-India Census of Small Scale Industries 2001-02. Fourth All-India Census of Micro, Small and Medium Enterprises 2006-07. NSS 73rd round (July 2015-June 2016)."
Total employment,I7387_7,Numeric Variable,Number,100000,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Total Employment in Lakh. Persons employed in medium and small industries in lakh. Figures are based on First All-India Census of Small Scale Industrial Units 1972. Figures of Daman & Diu were included in the erstwhile state of Goa, Daman & Diu, before it got delinked as a separate Union Territory. Second All-India Census of Small Scale Industrial Units 1987-88. Third All-India Census of Small Scale Industries 2001-02. Fourth All-India Census of Micro, Small and Medium Enterprises 2006-07. NSS 73rd round (July 2015-June 2016)."
